Provinsi,Tahun,Laju_PDRB,TPT,GK_Urban,GK_Rural,Klaster_Pulau
ACEH,2021,2.81,6.3,565776.0,529035.0,Sumatera
ACEH,2022,4.21,6.07,606394.0,565762.0,Sumatera
ACEH,2023,4.23,5.890000000000001,657772.0,612007.0,Sumatera
ACEH,2024,4.66,5.654999999999999,696048.0,643398.0,Sumatera
ACEH,2025,2.97,5.57,716522.0,655435.0,Sumatera
BALI,2021,-2.46,5.395,467189.0,417722.0,Bali-Nusa Tenggara
BALI,2022,4.84,4.82,499572.0,449697.0,Bali-Nusa Tenggara
BALI,2023,5.72,3.21,545700.0,488634.0,Bali-Nusa Tenggara
BALI,2024,5.48,1.83,586945.0,520238.0,Bali-Nusa Tenggara
BALI,2025,5.82,1.5350000000000001,631180.0,542858.0,Bali-Nusa Tenggara
BANTEN,2021,4.49,8.995000000000001,549111.0,485525.0,Jawa
BANTEN,2022,5.03,8.309999999999999,587768.0,521311.0,Jawa
BANTEN,2023,4.81,7.744999999999999,635207.0,563440.0,Jawa
BANTEN,2024,4.79,6.85,671171.0,590082.0,Jawa
BANTEN,2025,5.37,6.665,700646.0,611976.0,Jawa
BENGKULU,2021,3.27,3.685,604269.0,524492.0,Sumatera
BENGKULU,2022,4.31,3.49,647836.0,565952.0,Sumatera
BENGKULU,2023,4.28,3.315,698802.0,609241.0,Sumatera
BENGKULU,2024,4.62,3.1399999999999997,736758.0,640485.0,Sumatera
BENGKULU,2025,4.8,3.325,754967.0,650887.0,Sumatera
CATATAN,2021,4.960000000000001,5.357894736842105,544873.7105263158,499421.8947368421,Lainnya
CATATAN,2022,5.916842105263158,4.914078947368421,582958.7105263158,534768.2315789474,Lainnya
CATATAN,2023,5.302631578947367,4.600657894736841,634974.7368421053,579883.6578947369,Lainnya
CATATAN,2024,5.47842105263158,4.373947368421051,684145.0,609733.0894736842,Lainnya
CATATAN,2025,5.072894736842105,4.448947368421052,722069.8157894737,637958.3052631579,Lainnya
DI YOGYAKARTA,2021,5.58,4.42,507007.0,414240.0,Jawa
DI YOGYAKARTA,2022,5.15,3.8949999999999996,543821.0,455583.0,Jawa
DI YOGYAKARTA,2023,5.07,3.635,598925.0,499942.0,Jawa
DI YOGYAKARTA,2024,5.03,3.3600000000000003,628626.0,524188.0,Jawa
DI YOGYAKARTA,2025,5.49,3.3200000000000003,653421.0,545206.0,Jawa
DKI JAKARTA,2021,3.55,8.504999999999999,697638.0,427418.0,Jawa
DKI JAKARTA,2022,5.25,7.59,738955.0,461871.8,Jawa
DKI JAKARTA,2023,4.96,7.050000000000001,792515.0,502367.0,Jawa
DKI JAKARTA,2024,4.91,6.12,825288.0,528884.4,Jawa
DKI JAKARTA,2025,5.21,6.115,852768.0,551122.6,Jawa
GORONTALO,2021,2.4,3.21,389959.0,388609.0,Sulawesi
GORONTALO,2022,4.03,2.915,413279.0,410188.0,Sulawesi
GORONTALO,2023,4.5,3.065,444797.0,439013.0,Sulawesi
GORONTALO,2024,4.13,3.09,475851.0,469568.0,Sulawesi
GORONTALO,2025,5.71,3.27,503854.0,487598.0,Sulawesi
JAMBI,2021,3.7,4.925,583748.0,470758.0,Sumatera
JAMBI,2022,5.12,4.645,635708.0,503811.0,Sumatera
JAMBI,2023,4.65,4.515000000000001,699123.0,552720.0,Sumatera
JAMBI,2024,4.5,4.465,744044.0,606150.0,Sumatera
